,Error,Épocas,Clase
0,0.5638499855995178,1,"Train error on d1: 0.2, d2: 0"
1,0.4383999705314636,1,"Validation error on d1: 0.2, d2: 0"
2,0.4033750295639038,2,"Train error on d1: 0.2, d2: 0"
3,0.3666999936103821,2,"Validation error on d1: 0.2, d2: 0"
4,0.3389750123023987,3,"Train error on d1: 0.2, d2: 0"
5,0.31550002098083496,3,"Validation error on d1: 0.2, d2: 0"
6,0.2989000082015991,4,"Train error on d1: 0.2, d2: 0"
7,0.30559998750686646,4,"Validation error on d1: 0.2, d2: 0"
8,0.2689250111579895,5,"Train error on d1: 0.2, d2: 0"
9,0.2944999933242798,5,"Validation error on d1: 0.2, d2: 0"
10,0.24739998579025269,6,"Train error on d1: 0.2, d2: 0"
11,0.296999990940094,6,"Validation error on d1: 0.2, d2: 0"
12,0.22060000896453857,7,"Train error on d1: 0.2, d2: 0"
13,0.2833999991416931,7,"Validation error on d1: 0.2, d2: 0"
14,0.2059749960899353,8,"Train error on d1: 0.2, d2: 0"
15,0.27310001850128174,8,"Validation error on d1: 0.2, d2: 0"
16,0.19214999675750732,9,"Train error on d1: 0.2, d2: 0"
17,0.29089999198913574,9,"Validation error on d1: 0.2, d2: 0"
18,0.18117499351501465,10,"Train error on d1: 0.2, d2: 0"
19,0.2882000207901001,10,"Validation error on d1: 0.2, d2: 0"
20,0.16825002431869507,11,"Train error on d1: 0.2, d2: 0"
21,0.2802000045776367,11,"Validation error on d1: 0.2, d2: 0"
22,0.16132497787475586,12,"Train error on d1: 0.2, d2: 0"
23,0.265999972820282,12,"Validation error on d1: 0.2, d2: 0"
24,0.14592498540878296,13,"Train error on d1: 0.2, d2: 0"
25,0.2750999927520752,13,"Validation error on d1: 0.2, d2: 0"
26,0.13577502965927124,14,"Train error on d1: 0.2, d2: 0"
27,0.27649998664855957,14,"Validation error on d1: 0.2, d2: 0"
28,0.12617498636245728,15,"Train error on d1: 0.2, d2: 0"
29,0.2824000120162964,15,"Validation error on d1: 0.2, d2: 0"
30,0.12172502279281616,16,"Train error on d1: 0.2, d2: 0"
31,0.2678999900817871,16,"Validation error on d1: 0.2, d2: 0"
32,0.11470001935958862,17,"Train error on d1: 0.2, d2: 0"
33,0.28119999170303345,17,"Validation error on d1: 0.2, d2: 0"
34,0.1099500060081482,18,"Train error on d1: 0.2, d2: 0"
35,0.2669000029563904,18,"Validation error on d1: 0.2, d2: 0"
36,0.10519999265670776,19,"Train error on d1: 0.2, d2: 0"
37,0.27719998359680176,19,"Validation error on d1: 0.2, d2: 0"
38,0.09817498922348022,20,"Train error on d1: 0.2, d2: 0"
39,0.2735999822616577,20,"Validation error on d1: 0.2, d2: 0"
40,0.09527498483657837,21,"Train error on d1: 0.2, d2: 0"
41,0.27160000801086426,21,"Validation error on d1: 0.2, d2: 0"
42,0.09357500076293945,22,"Train error on d1: 0.2, d2: 0"
43,0.2581999897956848,22,"Validation error on d1: 0.2, d2: 0"
44,0.08654999732971191,23,"Train error on d1: 0.2, d2: 0"
45,0.27079999446868896,23,"Validation error on d1: 0.2, d2: 0"
46,0.08544999361038208,24,"Train error on d1: 0.2, d2: 0"
47,0.27869999408721924,24,"Validation error on d1: 0.2, d2: 0"
48,0.0810999870300293,25,"Train error on d1: 0.2, d2: 0"
49,0.26819998025894165,25,"Validation error on d1: 0.2, d2: 0"
50,0.07620000839233398,26,"Train error on d1: 0.2, d2: 0"
51,0.2735999822616577,26,"Validation error on d1: 0.2, d2: 0"
52,0.07467502355575562,27,"Train error on d1: 0.2, d2: 0"
53,0.27079999446868896,27,"Validation error on d1: 0.2, d2: 0"
54,0.07359999418258667,28,"Train error on d1: 0.2, d2: 0"
55,0.27079999446868896,28,"Validation error on d1: 0.2, d2: 0"
56,0.07082498073577881,29,"Train error on d1: 0.2, d2: 0"
57,0.2732999920845032,29,"Validation error on d1: 0.2, d2: 0"
58,0.06830000877380371,30,"Train error on d1: 0.2, d2: 0"
59,0.2718999981880188,30,"Validation error on d1: 0.2, d2: 0"
60,0.5746249854564667,1,"Train error on d1: 0.2, d2: 0.2"
61,0.4646000266075134,1,"Validation error on d1: 0.2, d2: 0.2"
62,0.4190499782562256,2,"Train error on d1: 0.2, d2: 0.2"
63,0.39670002460479736,2,"Validation error on d1: 0.2, d2: 0.2"
64,0.3520500063896179,3,"Train error on d1: 0.2, d2: 0.2"
65,0.3482000231742859,3,"Validation error on d1: 0.2, d2: 0.2"
66,0.31370002031326294,4,"Train error on d1: 0.2, d2: 0.2"
67,0.32249999046325684,4,"Validation error on d1: 0.2, d2: 0.2"
68,0.2857999801635742,5,"Train error on d1: 0.2, d2: 0.2"
69,0.2864000201225281,5,"Validation error on d1: 0.2, d2: 0.2"
70,0.2640249729156494,6,"Train error on d1: 0.2, d2: 0.2"
71,0.2904999852180481,6,"Validation error on d1: 0.2, d2: 0.2"
72,0.24482500553131104,7,"Train error on d1: 0.2, d2: 0.2"
73,0.30159997940063477,7,"Validation error on d1: 0.2, d2: 0.2"
74,0.2250000238418579,8,"Train error on d1: 0.2, d2: 0.2"
75,0.2839999794960022,8,"Validation error on d1: 0.2, d2: 0.2"
76,0.21630001068115234,9,"Train error on d1: 0.2, d2: 0.2"
77,0.27310001850128174,9,"Validation error on d1: 0.2, d2: 0.2"
78,0.1998000144958496,10,"Train error on d1: 0.2, d2: 0.2"
79,0.2882999777793884,10,"Validation error on d1: 0.2, d2: 0.2"
80,0.18755000829696655,11,"Train error on d1: 0.2, d2: 0.2"
81,0.2793999910354614,11,"Validation error on d1: 0.2, d2: 0.2"
82,0.17760002613067627,12,"Train error on d1: 0.2, d2: 0.2"
83,0.26520001888275146,12,"Validation error on d1: 0.2, d2: 0.2"
84,0.16802501678466797,13,"Train error on d1: 0.2, d2: 0.2"
85,0.29009997844696045,13,"Validation error on d1: 0.2, d2: 0.2"
86,0.1601250171661377,14,"Train error on d1: 0.2, d2: 0.2"
87,0.28140002489089966,14,"Validation error on d1: 0.2, d2: 0.2"
88,0.14942502975463867,15,"Train error on d1: 0.2, d2: 0.2"
89,0.2717999815940857,15,"Validation error on d1: 0.2, d2: 0.2"
90,0.14149999618530273,16,"Train error on d1: 0.2, d2: 0.2"
91,0.28119999170303345,16,"Validation error on d1: 0.2, d2: 0.2"
